file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00182_0092_400520_to_401237,དཔེར་ན།  ,dper na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00182_0092_400520_to_401237.wav,STT_AB,3,9,0.717,wav16k/STT_AB00182_0092_400520_to_401237.wav,དཔེར་ན།
STT_PC0049_0139_841406_to_843454,རིག་གནས་གསར་བརྗེའི་སྐབས་ལ་ཡ་ཤེས་ཡོན་ཅན་ཡིན་ཙང་།  ,rig gnas gsar brje'i skabs la ya shes yon can yin tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0049_0139_841406_to_843454.wav,STT_PC,3,49,2.048,wav16k/STT_PC0049_0139_841406_to_843454.wav,རིག་གནས་གསར་བརྗེའི་སྐབས་ལ་ཡ་ཤེས་ཡོན་ཅན་ཡིན་ཙང་།
STT_TT00677_0347_2668097_to_2670337,ད་འདི་མུ་མཐུད་ནས་ཡར་སྤེལ་བ་ལ།  ,da 'di mu mthud nas yar spel ba la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00677_0347_2668097_to_2670337.wav,STT_TT,3,31,2.24,wav16k/STT_TT00677_0347_2668097_to_2670337.wav,ད་དེ་མུ་མཐུད་དས་ཡར་སྤེལ་བ་ལ།
STT_PC0043_0073_418863_to_422095,དེ་དང་ལྷག་པར་དུ་ཨེ་ནས་རྒྱ་དཀར་ནག་གི་ས་མཚམས་ལ་ཞིབ་འཇུག་བྱེད་མྱི་དང་ ,de dang lhag par du e nas rgya dkar nag gi sa mtshams la zhib 'jug byed myi dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0043_0073_418863_to_422095.wav,STT_PC,3,67,3.232,wav16k/STT_PC0043_0073_418863_to_422095.wav,དེ་དང་ལྷག་པར་དུ་ཨེ་ནས་རྒྱ་དཀར་ནག་གི་ས་མཚམས་ལ་ཞིབ་འཇུག་བྱེད་མྱི་དང་།
STT_PC0032_0285_1718406_to_1721286,ཨེ་ནས་དེའི་བར་སྐོར་དེ་བརྒྱུད་པའི་སྐབས་ལ་ཡ། ཨེ་ནས་སྐུ་མཆེད་བུ་མོ་དེས་ ,e nas de'i bar skor de brgyud pa'i skabs la ya/_e nas sku mched bu mo des _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0032_0285_1718406_to_1721286.wav,STT_PC,3,69,2.88,wav16k/STT_PC0032_0285_1718406_to_1721286.wav,ཨེ་ནས་འདིའི་བར་སྐོར་དེ་བརྒྱུད་པའི་སྐབས་ལ་ཡ། ཨེ་ནས་སྐུ་མཆེད་བུ་མོ་དེས་
STT_NS0186_0058_380745_to_386121,བརྗོད་པ་འདོད་པ་གི་ཨེ་ནས་སྨད་ཡུལ་ཅིག་ཡོད་རཱ། སྨད་ས་གི་ཡུལ་ཅིག་ཡོད་རཱ། སྨན་སའི་ཡུལ་འགའ་ཞིག་ལ་ཨེ་ནས་ ,brjod pa 'dod pa gi e nas smad yul cig yod rA/_smad sa gi yul cig yod rA/_sman sa'i yul 'ga' zhig la e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0186_0058_380745_to_386121.wav,STT_NS,3,98,5.376,wav16k/STT_NS0186_0058_380745_to_386121.wav,བརྗོད་པར་འདོད་པ་གི་ཨེ་ནས་སྨན་ཡུལ་ཅིག་ཡོད་རེད། སྨན་ས་གི་ཡུལ་ཅིག་ཡོད་རེད། སྨན་སའི་ཡུལ་འགའ་ཞིག་ལ་ཨེ་ནས།
STT_NS_M0343_0555_3402261_to_3408539,དུས་ཚོད་ཅིག་ལ་ད་ཁ་ལག་ང་ཚོ་དེ་དཀྲིས་མོག་མང་པོ་འདྲ་བོ་ཞིག་རག་གི་རེད་ཡོད་བ། ཉིན་གུང་དང་དགོང་དག་ཨེ་འདྲའི་ཡོད་བ། ཨེ་དུས་ཚོད་ཅིག་ལ་དཀྲིས་མོག་ཟ་ཟ་ ,dus tshod cig la da kha lag nga tsho de dkris mog mang po 'dra bo zhig rag gi red yod ba/_nyin gung dang dgong dag e 'dra'i yod ba/_e dus tshod cig la dkris mog za za _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0343_0555_3402261_to_3408539.wav,STT_NS,3,140,6.278,wav16k/STT_NS_M0343_0555_3402261_to_3408539.wav,དུས་ཚོད་གཅིག་ལ་ད་ཁ་ལག་ང་ཚོ་འདི་དཀྲིས་མོག་མང་པོ་འདྲ་བོ་ཞིག་རག་གི་རེད་ཡོད་བ། ཉིན་གུང་དང་དགོང་དག་ཨེ་འདྲའི་ཡོད་བ། དུས་ཚོད་གཅིག་ལ་དཀྲིས་མོག་ཟ་ས་ི།
STT_NS_M0367_0285_2101205_to_2103817,འགྲོ་རེད་ད་རཱ། མོ་ཀ་ཅི་ཁ་ནང་ལོགས་ནས་དབུགས་བཏང་ཡ་དེ་ཡོད་བ།  ,'gro red da rA/_mo ka ci kha nang logs nas dbugs btang ya de yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0367_0285_2101205_to_2103817.wav,STT_NS,3,59,2.612,wav16k/STT_NS_M0367_0285_2101205_to_2103817.wav,འགྲོ་ཡི་རེད་ད་རཱ། མོ་ཀ་ཅི་ཁ་ནང་ལོགས་ནས་དབུགས་བཏང་ཡ་དེ་ཡོད་བ།
STT_NS_M0366_0309_2177534_to_2180158,ཚོགས་རེད་ཡོད་བ་ང་རང་ཚོ་ད་སེམས་ཁམས་རིག་པ་ཀ་ཅི་བུ་གུ་གཅིག་ ,tshogs red yod ba nga rang tsho da sems khams rig pa ka ci bu gu gcig _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0366_0309_2177534_to_2180158.wav,STT_NS,3,57,2.624,wav16k/STT_NS_M0366_0309_2177534_to_2180158.wav,ཚོགས་རེད་ཡོད་བ་ ང་རང་ཚོ་ད་སེམས་ཁམས་རིག་པ་ཀ་ཅི་བུ་གུ་གཅིག
STT_NS_M0358_0049_326151_to_329872,ཨེ་ནས་ཐོབ་ཐང་ཡོད་ནས་ང་ཚོ་གིས་བརྩི་གི་མ་རེད་རཱ། ཨོ་དེ་བྱས་ནས་ཨེ་ནས།  ,e nas thob thang yod nas nga tsho gis brtsi gi ma red rA/_o de byas nas e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0358_0049_326151_to_329872.wav,STT_NS,3,68,3.721,wav16k/STT_NS_M0358_0049_326151_to_329872.wav,ཨེ་ནས་ཐོབ་ཐང་ཡོད་ནས་ཡང་ང་ཚོ་གིས་བརྩི་ཡི་མ་རེད་རཱ། ཨོ་དེ་བྱས་ནས་ཨེ་ནས།
